구분,연매출_만원,식재료비,인건비계,고용인 인건비,대표자 인건비,가족 종사자 인건비,세금과 공과,기타비용,임차료,영업비용,영업이익,임대료제외_원가율,검산
전체,25165.8,40.4,29.4,14.3,11.7,3.4,5.6,7.0,8.7,91.1,8.9,82.4,100.0
일반음식점,28522.8,42.2,28.9,14.3,10.9,3.8,5.1,6.7,7.9,90.9,9.1,83.0,100.0
일반음식점 외,21609.3,37.8,30.1,14.3,12.8,3.0,6.2,7.5,9.8,91.3,8.7,81.6,100.0
일반 음식점업,28522.8,42.2,28.9,14.3,10.9,3.8,5.1,6.7,7.9,90.9,9.1,83.0,100.0
기관구내식당업,46751.3,40.8,25.8,15.8,8.2,1.8,6.3,6.8,9.1,88.7,11.3,79.6,100.0
출장 및 이동 음식업,38639.4,47.1,26.6,14.5,7.8,4.4,4.3,5.9,3.8,87.7,12.3,84.0,100.0
기타 음식점업,25059.0,39.9,30.1,13.8,12.7,3.6,5.8,7.4,9.0,92.3,7.7,83.3,100.0
주점업,19245.8,36.9,29.8,13.4,13.5,3.0,7.2,7.7,10.1,91.8,8.2,81.6,100.0
비알콜 음료점업,16825.9,33.7,31.5,15.6,13.7,2.2,5.9,7.7,11.1,89.9,10.1,78.7,100.0
한식,28272.5,42.5,28.6,13.9,10.9,3.8,5.0,6.7,7.8,90.6,9.4,82.9,100.0
중식 음식점업,30343.5,43.6,29.8,15.2,10.7,4.0,4.9,5.9,7.1,91.4,8.6,84.3,100.0
일식 음식점업,30077.8,39.6,29.7,15.6,10.4,3.8,5.2,6.4,8.9,89.8,10.2,80.9,100.0
서양식 음식점업,28544.7,39.9,30.8,17.0,11.2,2.6,6.4,8.0,10.1,95.1,4.9,85.0,100.0
기타 외국식 음식점업,27529.5,36.8,32.0,16.0,12.4,3.6,6.0,7.3,12.6,94.7,5.3,82.1,100.0
기관 구내식당업,46751.3,40.8,25.8,15.8,8.2,1.8,6.3,6.8,9.1,88.7,11.3,79.6,100.0
출장·이동음식점업,38639.4,47.1,26.6,14.5,7.8,4.4,4.3,5.9,3.8,87.7,12.3,84.0,100.0
제과점,26030.0,37.8,33.5,17.0,13.4,3.1,5.3,5.7,8.4,90.7,9.3,82.3,100.0
피자·햄버거·샌드위치 및 유사음식점업,30612.2,40.0,28.5,16.6,9.6,2.4,5.3,6.8,10.5,91.1,8.9,80.6,100.0
치킨전문점,28669.0,39.9,30.2,12.0,13.8,4.4,7.0,8.1,8.8,94.0,6.0,85.2,100.0
김밥 및 기타 간이 음식점업,18636.1,41.5,29.6,11.8,14.0,3.8,5.1,8.1,8.3,92.7,7.3,84.4,100.0
간이 음식 포장 판매 전문점,20871.9,40.2,27.2,10.7,11.7,4.8,5.7,9.5,8.2,90.9,9.1,82.7,100.0
일반유흥주점업,14377.2,34.6,34.4,18.2,11.6,4.5,8.0,8.0,12.5,97.4,2.6,84.9,100.0
무도유흥주점업,19543.4,30.5,30.3,17.8,10.9,1.6,6.0,8.3,12.3,87.5,12.5,75.1,100.0
생맥주 전문점,23580.0,39.0,30.7,14.6,14.1,2.0,6.9,6.4,9.3,92.4,7.6,83.0,100.0
기타 주점업,20352.2,37.3,28.5,11.9,13.9,2.7,7.0,7.8,9.6,90.3,9.7,80.7,100.0
커피 전문점,17299.4,33.4,31.7,16.3,13.2,2.3,5.9,7.8,11.1,89.8,10.2,78.7,100.0
기타 비알코올 음료점업,13917.5,36.1,30.1,10.6,17.7,1.8,5.7,6.9,11.6,90.4,9.6,78.8,100.0
한식 일반 음식점업,26159.2,42.2,27.9,13.0,10.9,4.0,4.7,6.6,7.8,89.1,10.9,81.3,100.0
한식 면 요리 전문점,21891.3,40.4,31.9,13.2,13.7,5.0,5.5,7.2,7.7,92.7,7.3,85.0,100.0
한식 육류 요리 전문점,35352.2,43.1,29.7,16.0,10.4,3.3,5.5,6.7,7.8,92.8,7.2,85.0,100.0
한식 해산물요리 전문점,31562.7,43.7,28.2,14.3,10.4,3.5,5.4,7.0,7.9,92.1,7.9,84.2,100.0
서울권,28896.2,37.0,31.0,15.6,12.6,2.8,7.6,7.8,11.2,94.6,5.4,83.4,100.0
수도권,23121.9,37.3,32.5,14.5,14.0,4.0,7.3,7.1,10.4,94.5,5.5,84.1,100.0
충청권,26388.9,34.3,34.2,16.5,15.4,2.3,6.6,5.8,7.0,87.9,12.1,80.9,100.0
호남권,19678.1,41.3,22.7,14.4,7.2,1.2,4.3,8.1,7.4,83.8,16.2,76.4,100.0
경남권,25666.3,50.0,24.9,14.1,8.4,2.4,3.5,6.1,7.4,91.9,8.1,84.5,100.0
경북권,28147.2,35.6,31.8,11.4,13.3,7.1,3.4,7.2,5.6,83.6,16.4,78.0,100.0
프랜차이즈,32067.3,40.4,29.8,16.7,10.3,2.8,5.2,6.9,9.7,91.9,8.1,82.3,100.0
비프랜차이즈,22401.7,40.3,29.2,12.9,12.5,3.8,5.8,7.1,8.2,90.6,9.4,82.4,100.0
주거지,23181.7,39.9,29.4,13.2,13.1,3.2,7.1,7.2,9.1,92.6,7.4,83.5,100.0
일반 상업지,24444.2,40.9,29.2,14.1,11.4,3.6,5.1,7.0,8.5,90.7,9.3,82.2,100.0
유흥 상업지,27503.7,35.9,34.5,17.9,13.0,3.7,6.2,6.0,10.9,93.5,6.5,82.6,100.0
대학 및 학원가,16020.7,40.2,26.2,10.5,12.3,3.4,6.5,7.9,11.0,91.7,8.3,80.7,100.0
역세권,43841.4,35.3,29.5,17.1,10.7,1.6,6.8,8.2,11.4,91.2,8.8,79.8,100.0
오피스가,50864.0,41.5,25.6,13.9,9.5,2.1,6.1,7.3,9.1,89.7,10.3,80.6,100.0
"교외, 휴양지",38814.9,38.7,36.8,18.3,14.5,4.0,6.7,6.3,4.0,92.4,7.6,88.4,100.0
기타,57514.7,30.9,34.5,25.7,4.7,4.1,3.2,11.3,10.7,90.6,9.4,79.9,100.0
완전서비스,24295.7,40.7,29.2,13.9,11.8,3.5,5.7,7.1,8.8,91.4,8.6,82.6,100.0
제한적서비스,30330.9,38.6,30.5,16.3,11.0,3.3,5.3,6.8,8.9,90.1,9.9,81.2,100.0
배달,27052.1,39.8,29.4,14.0,11.7,3.7,5.2,7.3,8.8,90.4,9.6,81.7,100.0
포장(테이크아웃),25765.4,39.0,30.2,14.3,12.1,3.8,5.5,7.2,8.9,90.8,9.2,82.0,100.0
