상권명,평균,표본
DMC(디지털미디어시티),7.02,6
가락시장역,5.45,2
가로수길,11.54,6
가산디지털단지,5.22,6
가양역 10번,5.22,6
강남구청역,9.29,6
강남역,13.79,6
강동성심병원,6.23,6
강변역(테크노마트),12.02,6
강서구청,4.74,6
건대입구역,6.94,6
경리단길,5.24,6
경희대학교,5.6,4
고덕역,7.95,6
공덕역,7.64,6
공릉역,3.69,2
광화문역,11.91,3
교대역(법원.검찰청),9.62,4
구로디지털단지역역,6.15,6
구로역,5.61,6
구의역,6.08,6
구파발역,6.55,3
국회의사당역,13.23,6
군자역,6.93,6
길동역,4.21,6
까치산역,3.98,2
까치산역 등촌역,3.98,4
낙성대역,4.97,6
남부터미널역,5.18,4
남영역(남영동),6.28,2
노량진역,6.81,2
노원역,6.99,2
녹두거리(대학동),6.74,6
논현역,6.91,6
당산역,12.7,6
대치역,9.39,6
독산동,3.6,3
동대문역,6.8,4
동대문역사문화공원역,11.28,5
동대문역사문화공원역 11.28 장충동족발거리(남소영길),10.94,1
동묘앞역,3.26,4
둔촌역,5.18,6
등촌역,4.04,2
등촌역 4번,2.96,6
뚝섬역,8.34,4
마곡역,6.92,2
마곡역 발산역,6.92,4
마포역,7.41,6
망리단길,5.86,6
매봉역,6.38,6
먹골역 5번,2.99,4
명동(명동거리),17.37,6
명동역(명동재미로),15.36,6
명일역,4.63,6
목동사거리 양천구,3.69,6
문정동 로데오거리,5.46,2
미아사거리역,5.63,6
발산역,7.83,2
방배동카페골목,5.18,3
방배역,6.37,4
방이동먹자골목,8.08,2
뱅뱅사거리,7.67,4
북창동,18.07,6
북촌,7.01,6
불광역,6.1,4
사가정역,6.16,6
사당역,6.9,6
삼성역,7.87,6
상도역 5번,5.08,4
상봉역,4.6,1
상수역,10.26,6
샤로수길,4.36,6
서울대입구역,6.31,6
서울시흥동우체국,5.48,3
서촌,5.37,6
석계역 7번,3.83,3
석촌역(석촌호수),5.61,2
선릉역,9.21,6
선정릉역,7.74,6
성수동 카페거리,6.81,4
성신여대,5.61,2
송정역,4.55,6
송파나루역 1번(송리단길),5.41,4
송파역(송파사거리),6.82,3
송파역(송파사거리) 잠실새내역(신천),6.82,1
수서역,7.88,6
수유역,10.35,6
숙대입구,8.12,1
시청역 1번,9.99,6
신당동,5.45,6
신당역,6.45,6
신대방삼거리역,4.6,2
신대방삼거리역 중앙대학교,4.6,1
신도림역,6.5,6
신림역,8.13,6
신사역,5.49,6
신설동역,4.16,4
신용산역,6.42,2
신정네거리역,3.53,6
신촌역(신촌로터리),8.93,6
쌍문역1번(쌍리단길),4.08,2
아차산역,5.72,6
안국역,9.76,2
안암역,5.65,4
압구정로데오역,14.08,6
압구정역,10.01,6
약수역,8.14,6
양재역,6.54,4
언주역(차병원),5.6,6
여의도역,12.74,6
역삼역,6.16,6
연남동,9.28,6
연신내역,4.56,1
연희동,8.12,6
영등포구청역,5.05,6
영등포역,5.26,6
오류동역,5.98,6
오목교역,5.49,5
왕십리역,4.57,4
은마아파트,6.66,6
을지로3가역,6.96,6
이태원역,6.92,2
이화여대,6.78,6
익선동 한옥거리,10.09,6
인사동,11.09,2
인사동 종로3가역,11.09,4
잠실새내역(신천),10.94,3
잠실역,5.54,6
장충동족발거리(남소영길),10.94,2
종로3가역,5.94,2
종로5가역,7.26,5
중계동학원가(은행사거리),9.28,2
중앙대학교,5.61,2
창동역,6.17,4
천호역,6.88,6
청량리역,4.5,4
총신대입구역,7.06,6
충무로역,5.49,6
포이사거리(삼호물산),5.23,4
학동사거리,5.98,6
학동역,7.36,6
한남오거리,7.09,2
한성대입구역,4.2,4
한양대 앞 상점가,4.8,4
한티역,9.82,6
해방촌 남동측,3.99,1
혜화역,8.52,3
홍대입구역,10.51,6
화곡역,4.7,6
황학동주방가구거리,5.53,6
회기역,5.79,2
회기역 노량진역,5.79,1
