TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,XCNTS_VALUE,YDNTS_VALUE,SIGNGU_CD,SIGNGU_CD_NM,ADSTRD_CD,ADSTRD_CD_NM,RELM_AR
A,골목상권,3110110,상왕십리역 6번,202454,451618,11200,성동구,11200520,왕십리2동,51942
A,골목상권,3110111,대현산장미원,202636,450338,11200,성동구,11200580,응봉동,19485
A,골목상권,3110100,옥수동우편취급국,200870,449042,11200,성동구,11200645,옥수동,26060
A,골목상권,3110101,옥정중학교,201109,449012,11200,성동구,11200645,옥수동,23818
A,골목상권,3110102,옥수역 6번,201423,449294,11200,성동구,11200645,옥수동,34682
A,골목상권,3110103,옥수터널,201450,449586,11200,성동구,11200620,금호4가동,19057
A,골목상권,3110104,신금호역 4번,201782,450233,11200,성동구,11200615,금호2·3가동,66838
A,골목상권,3110108,성동구립금호도서관,202208,450534,11200,성동구,11200590,금호1가동,11778
A,골목상권,3110109,금호삼성래미안아파트,202316,450083,11200,성동구,11200590,금호1가동,29788
A,골목상권,3110129,성원어린이공원,204438,450088,11200,성동구,11200660,성수1가2동,70693
A,골목상권,3110130,답십리역 6번,204631,451780,11200,성동구,11200790,용답동,43065
A,골목상권,3110131,성수동카페거리,204716,449234,11200,성동구,11200670,성수2가1동,131865
A,골목상권,3110132,성수2가3동주민센터,204767,449989,11200,성동구,11200690,성수2가3동,76450
A,골목상권,3110136,경수초등학교,205299,449009,11200,성동구,11200670,성수2가1동,260628
A,골목상권,3110105,금동어린이공원,202076,449956,11200,성동구,11200615,금호2·3가동,69009
A,골목상권,3110106,금북초등학교,202140,450763,11200,성동구,11200590,금호1가동,21366
A,골목상권,3110107,금호사거리,202203,449734,11200,성동구,11200620,금호4가동,22191
A,골목상권,3110112,행당역 2번,202776,451078,11200,성동구,11200560,행당1동,68591
A,골목상권,3110113,응봉산,202786,449918,11200,성동구,11200580,응봉동,89115
A,골목상권,3110114,왕십리파출소,202776,451985,11200,성동구,11200535,왕십리도선동,27058
A,골목상권,3110133,서울교통공사,205004,451461,11200,성동구,11200790,용답동,80187
A,골목상권,3110134,성수119안전센터,205062,448509,11200,성동구,11200670,성수2가1동,222826
A,골목상권,3110135,성동세무서,205254,449984,11200,성동구,11200720,송정동,136762
A,골목상권,3110115,상왕십리역 3번,202799,451762,11200,성동구,11200535,왕십리도선동,80878
A,골목상권,3110116,청계천박물관,203093,452318,11200,성동구,11200540,마장동,98083
A,골목상권,3110117,성동구보건소,203124,451949,11200,성동구,11200540,마장동,49735
A,골목상권,3110118,왕십리역 9번,203170,450924,11200,성동구,11200560,행당1동,63575
A,골목상권,3110119,마장지하차도,203308,451914,11200,성동구,11200540,마장동,22524
A,골목상권,3110120,서울숲카페거리,203629,449746,11200,성동구,11200660,성수1가2동,34852
A,골목상권,3110121,한양대역 4번,203699,450806,11200,성동구,11200550,사근동,29267
A,골목상권,3110122,마장역 2번,203900,452033,11200,성동구,11200540,마장동,80335
A,골목상권,3110123,마장역 3번,203977,451906,11200,성동구,11200540,마장동,169553
A,골목상권,3110124,뚝섬역교차로,204001,450061,11200,성동구,11200660,성수1가2동,79596
A,골목상권,3110125,사근동살곶이상점가,204116,451277,11200,성동구,11200550,사근동,128923
A,골목상권,3110126,서울숲역 1번,204113,449554,11200,성동구,11200650,성수1가1동,18531
A,골목상권,3110127,성수1가1동주민센터,204367,449119,11200,성동구,11200650,성수1가1동,38774
A,골목상권,3110128,성원중학교,204412,448741,11200,성동구,11200650,성수1가1동,247340
A,골목상권,3110137,성수초등학교,205519,449630,11200,성동구,11200690,성수2가3동,330983
A,골목상권,3110138,송정체육공원,205936,450143,11200,성동구,11200720,송정동,102074
D,발달상권,3120048,금호역,201735,449865,11200,성동구,11200620,금호4가동,61031
D,발달상권,3120049,왕십리역(왕십리),203287,451265,11200,성동구,11200560,행당1동,193725
D,발달상권,3120050,서울숲역,204150,449189,11200,성동구,11200650,성수1가1동,58913
D,발달상권,3120051,뚝섬역,204279,449686,11200,성동구,11200660,성수1가2동,218163
D,발달상권,3120052,성수역,205008,449464,11200,성동구,11200690,성수2가3동,298939
R,전통시장,3130063,신금호역 골목형상점가,201778,450475,11200,성동구,11200615,금호2·3가동,15024
R,전통시장,3130064,금남시장,201970,449892,11200,성동구,11200615,금호2·3가동,11274
R,전통시장,3130065,무학봉상점가,202706,451363,11200,성동구,11200520,왕십리2동,69338
R,전통시장,3130066,행당시장상점가,202943,451296,11200,성동구,11200560,행당1동,81008
R,전통시장,3130067,왕십리도선동상점가,203030,451634,11200,성동구,11200535,왕십리도선동,86695
R,전통시장,3130070,뚝섬역상점가,204339,449882,11200,성동구,11200660,성수1가2동,56166
R,전통시장,3130068,마장축산물시장,203467,452337,11200,성동구,11200540,마장동,218303
R,전통시장,3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",203578,451118,11200,성동구,11200550,사근동,23243
R,전통시장,3130071,성수역 골목형상점가,204684,449660,11200,성동구,11200690,성수2가3동,10659
R,전통시장,3130072,성동용답상가시장,204691,451606,11200,성동구,11200790,용답동,118065
R,전통시장,3130073,뚝도시장,204817,448747,11200,성동구,11200670,성수2가1동,21456
