STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TRDAR_CHNGE_IX,TRDAR_CHNGE_IX_NM,OPR_SALE_MT_AVRG,CLS_SALE_MT_AVRG,SU_OPR_SALE_MT_AVRG,SU_CLS_SALE_MT_AVRG
20261,A,골목상권,3110110,상왕십리역 6번,LH,상권확장,106.0,57.0,117.0,54.0
20261,A,골목상권,3110111,대현산장미원,LH,상권확장,98.0,65.0,117.0,54.0
20261,A,골목상권,3110100,옥수동우편취급국,HL,상권축소,133.0,50.0,117.0,54.0
20261,A,골목상권,3110101,옥정중학교,HL,상권축소,140.0,46.0,117.0,54.0
20261,A,골목상권,3110102,옥수역 6번,LH,상권확장,101.0,55.0,117.0,54.0
20261,A,골목상권,3110103,옥수터널,LL,다이나믹,102.0,43.0,117.0,54.0
20261,A,골목상권,3110104,신금호역 4번,LH,상권확장,110.0,64.0,117.0,54.0
20261,A,골목상권,3110108,성동구립금호도서관,HL,상권축소,127.0,53.0,117.0,54.0
20261,A,골목상권,3110109,금호삼성래미안아파트,LH,상권확장,115.0,54.0,117.0,54.0
20261,A,골목상권,3110129,성원어린이공원,LH,상권확장,98.0,55.0,117.0,54.0
20261,A,골목상권,3110130,답십리역 6번,HH,정체,143.0,60.0,117.0,54.0
20261,A,골목상권,3110131,성수동카페거리,LH,상권확장,77.0,54.0,117.0,54.0
20261,A,골목상권,3110132,성수2가3동주민센터,LH,상권확장,89.0,55.0,117.0,54.0
20261,A,골목상권,3110136,경수초등학교,LL,다이나믹,85.0,53.0,117.0,54.0
20261,A,골목상권,3110105,금동어린이공원,HL,상권축소,124.0,52.0,117.0,54.0
20261,A,골목상권,3110106,금북초등학교,LH,상권확장,108.0,60.0,117.0,54.0
20261,A,골목상권,3110107,금호사거리,HH,정체,158.0,69.0,117.0,54.0
20261,A,골목상권,3110112,행당역 2번,HH,정체,129.0,55.0,117.0,54.0
20261,A,골목상권,3110113,응봉산,HL,상권축소,146.0,48.0,117.0,54.0
20261,A,골목상권,3110114,왕십리파출소,HH,정체,146.0,65.0,117.0,54.0
20261,A,골목상권,3110133,서울교통공사,HH,정체,161.0,67.0,117.0,54.0
20261,A,골목상권,3110134,성수119안전센터,HL,상권축소,127.0,49.0,117.0,54.0
20261,A,골목상권,3110135,성동세무서,HH,정체,145.0,61.0,117.0,54.0
20261,A,골목상권,3110115,상왕십리역 3번,HH,정체,119.0,60.0,117.0,54.0
20261,A,골목상권,3110116,청계천박물관,HH,정체,120.0,65.0,117.0,54.0
20261,A,골목상권,3110117,성동구보건소,HL,상권축소,152.0,53.0,117.0,54.0
20261,A,골목상권,3110118,왕십리역 9번,HL,상권축소,119.0,53.0,117.0,54.0
20261,A,골목상권,3110119,마장지하차도,HH,정체,135.0,67.0,117.0,54.0
20261,A,골목상권,3110120,서울숲카페거리,LL,다이나믹,52.0,33.0,117.0,54.0
20261,A,골목상권,3110121,한양대역 4번,LH,상권확장,96.0,58.0,117.0,54.0
20261,A,골목상권,3110122,마장역 2번,HH,정체,125.0,62.0,117.0,54.0
20261,A,골목상권,3110123,마장역 3번,HH,정체,151.0,62.0,117.0,54.0
20261,A,골목상권,3110124,뚝섬역교차로,LH,상권확장,89.0,57.0,117.0,54.0
20261,A,골목상권,3110125,사근동살곶이상점가,LH,상권확장,109.0,66.0,117.0,54.0
20261,A,골목상권,3110126,서울숲역 1번,LL,다이나믹,67.0,52.0,117.0,54.0
20261,A,골목상권,3110127,성수1가1동주민센터,LL,다이나믹,98.0,51.0,117.0,54.0
20261,A,골목상권,3110128,성원중학교,HH,정체,130.0,55.0,117.0,54.0
20261,A,골목상권,3110137,성수초등학교,HH,정체,124.0,59.0,117.0,54.0
20261,A,골목상권,3110138,송정체육공원,HL,상권축소,123.0,51.0,117.0,54.0
20261,D,발달상권,3120048,금호역,HH,정체,127.0,59.0,117.0,54.0
20261,D,발달상권,3120049,왕십리역(왕십리),LH,상권확장,106.0,54.0,117.0,54.0
20261,D,발달상권,3120050,서울숲역,LL,다이나믹,91.0,51.0,117.0,54.0
20261,D,발달상권,3120051,뚝섬역,LH,상권확장,86.0,56.0,117.0,54.0
20261,D,발달상권,3120052,성수역,LH,상권확장,99.0,57.0,117.0,54.0
20261,R,전통시장,3130063,신금호역 골목형상점가,LH,상권확장,110.0,56.0,117.0,54.0
20261,R,전통시장,3130064,금남시장,HH,정체,149.0,77.0,117.0,54.0
20261,R,전통시장,3130065,무학봉상점가,HH,정체,124.0,54.0,117.0,54.0
20261,R,전통시장,3130066,행당시장상점가,LH,상권확장,116.0,55.0,117.0,54.0
20261,R,전통시장,3130067,왕십리도선동상점가,LH,상권확장,115.0,56.0,117.0,54.0
20261,R,전통시장,3130070,뚝섬역상점가,LL,다이나믹,116.0,52.0,117.0,54.0
20261,R,전통시장,3130068,마장축산물시장,HH,정체,172.0,85.0,117.0,54.0
20261,R,전통시장,3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",LL,다이나믹,107.0,51.0,117.0,54.0
20261,R,전통시장,3130071,성수역 골목형상점가,LL,다이나믹,109.0,49.0,117.0,54.0
20261,R,전통시장,3130072,성동용답상가시장,HH,정체,118.0,55.0,117.0,54.0
20261,R,전통시장,3130073,뚝도시장,HH,정체,122.0,64.0,117.0,54.0
