STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TOT_FLPOP_CO,ML_FLPOP_CO,FML_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,TMZON_00_06_FLPOP_CO,TMZON_06_11_FLPOP_CO,TMZON_11_14_FLPOP_CO,TMZON_14_17_FLPOP_CO,TMZON_17_21_FLPOP_CO,TMZON_21_24_FLPOP_CO,MON_FLPOP_CO,TUES_FLPOP_CO,WED_FLPOP_CO,THUR_FLPOP_CO,FRI_FLPOP_CO,SAT_FLPOP_CO,SUN_FLPOP_CO
20261,R,전통시장,3130073,뚝도시장,526745.0,262906.0,263838.0,52333.0,75232.0,106816.0,81310.0,89650.0,121403.0,125165.0,101881.0,68523.0,72086.0,92794.0,66295.0,75653.0,75363.0,76363.0,76831.0,77682.0,74410.0,70441.0
20261,A,골목상권,3110100,옥수동우편취급국,76241.0,36323.0,39918.0,17649.0,4847.0,12181.0,12924.0,10068.0,18573.0,23922.0,16329.0,7155.0,6827.0,11026.0,10982.0,10953.0,10733.0,10784.0,10889.0,10738.0,10942.0,11200.0
20261,A,골목상권,3110101,옥정중학교,165520.0,74875.0,90643.0,36690.0,11668.0,26628.0,30526.0,22768.0,37240.0,32955.0,33643.0,24083.0,24460.0,31878.0,18500.0,23553.0,23509.0,23976.0,23964.0,23878.0,23643.0,22996.0
20261,A,골목상권,3110102,옥수역 6번,402170.0,183222.0,218947.0,82506.0,43717.0,65931.0,70793.0,55831.0,83392.0,58456.0,78486.0,60646.0,69553.0,93527.0,41502.0,55551.0,56848.0,58105.0,59324.0,60989.0,59972.0,51380.0
20261,A,골목상권,3110103,옥수터널,220644.0,99638.0,121006.0,40464.0,18926.0,40931.0,40546.0,32053.0,47722.0,59781.0,46867.0,24161.0,24055.0,36371.0,29409.0,30776.0,31138.0,30844.0,30894.0,31133.0,32993.0,32866.0
20261,A,골목상권,3110104,신금호역 4번,1052609.0,478243.0,574366.0,172267.0,96143.0,166740.0,191002.0,156995.0,269461.0,312806.0,219970.0,109523.0,105594.0,160389.0,144327.0,150065.0,146764.0,149728.0,150343.0,150294.0,151417.0,153996.0
20261,A,골목상권,3110105,금동어린이공원,610939.0,287392.0,323547.0,98297.0,64387.0,94325.0,101546.0,98894.0,153492.0,154951.0,121372.0,68615.0,71155.0,111057.0,83789.0,85855.0,84360.0,85333.0,85392.0,85836.0,91869.0,92295.0
20261,A,골목상권,3110106,금북초등학교,117417.0,51674.0,65742.0,19767.0,8455.0,18305.0,22949.0,18496.0,29445.0,27316.0,24154.0,14035.0,14544.0,21777.0,15590.0,16771.0,16502.0,16570.0,16520.0,16412.0,17256.0,17387.0
20261,A,골목상권,3110107,금호사거리,67794.0,31751.0,36044.0,11364.0,4711.0,11153.0,12929.0,10946.0,16693.0,11713.0,13531.0,9351.0,10394.0,14422.0,8384.0,9377.0,9296.0,9383.0,9429.0,9498.0,10367.0,10446.0
20261,A,골목상권,3110108,성동구립금호도서관,97223.0,43053.0,54170.0,14380.0,8053.0,17530.0,19687.0,13016.0,24555.0,24919.0,19702.0,10834.0,11872.0,17292.0,12603.0,13475.0,13370.0,13330.0,13199.0,13178.0,15184.0,15488.0
20261,A,골목상권,3110109,금호삼성래미안아파트,414183.0,188112.0,226071.0,89454.0,33243.0,58822.0,84399.0,62892.0,85371.0,96523.0,84399.0,51006.0,53858.0,77346.0,51051.0,58182.0,56809.0,58059.0,57995.0,58250.0,62284.0,62603.0
20261,A,골목상권,3110110,상왕십리역 6번,1088833.0,469504.0,619328.0,128496.0,181497.0,221683.0,179120.0,152291.0,225746.0,291721.0,231895.0,122131.0,122099.0,182942.0,138045.0,150840.0,147959.0,149045.0,149868.0,150057.0,167352.0,173714.0
20261,A,골목상권,3110111,대현산장미원,492825.0,206854.0,285972.0,79196.0,46266.0,78329.0,86627.0,85361.0,117048.0,178291.0,101080.0,40646.0,36848.0,63348.0,72614.0,70642.0,67445.0,69928.0,69466.0,69143.0,70794.0,75409.0
20261,A,골목상권,3110112,행당역 2번,807611.0,366859.0,440751.0,141967.0,133470.0,129792.0,132073.0,119826.0,150480.0,207423.0,163390.0,95364.0,93951.0,139205.0,108278.0,112586.0,112416.0,114030.0,114010.0,113308.0,119560.0,121698.0
20261,A,골목상권,3110113,응봉산,172198.0,79761.0,92438.0,41923.0,16268.0,21241.0,28922.0,26970.0,36874.0,43866.0,38263.0,21280.0,20197.0,27230.0,21362.0,24291.0,23968.0,24818.0,24802.0,24916.0,24242.0,25160.0
20261,A,골목상권,3110114,왕십리파출소,407362.0,188394.0,218968.0,60988.0,54855.0,60332.0,62962.0,73217.0,95007.0,97048.0,85711.0,51752.0,51809.0,71222.0,49818.0,57577.0,57503.0,57931.0,57673.0,57955.0,58694.0,60028.0
20261,A,골목상권,3110115,상왕십리역 3번,949245.0,440339.0,508905.0,134329.0,156038.0,170156.0,143439.0,148098.0,197183.0,220214.0,197568.0,122233.0,124472.0,170389.0,114369.0,134521.0,133895.0,135068.0,135807.0,136518.0,138143.0,135291.0
20261,A,골목상권,3110116,청계천박물관,599686.0,304599.0,295087.0,62072.0,69139.0,98653.0,93882.0,116073.0,159866.0,155713.0,140322.0,78481.0,73689.0,84801.0,66681.0,87360.0,88572.0,88959.0,87885.0,87738.0,79819.0,79353.0
