STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,SIMILR_INDUTY_STOR_CO,STOR_CO,FRC_STOR_CO,OPBIZ_RT,OPBIZ_STOR_CO,CLSBIZ_RT,CLSBIZ_STOR_CO
20261,A,골목상권,3110100,옥수동우편취급국,CS100001,한식음식점,2.0,1.0,1.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS100002,중식음식점,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS100003,일식음식점,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS100009,호프-간이주점,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS200001,일반교습학원,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS200002,외국어학원,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS200003,예술학원,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS200005,스포츠 강습,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS200006,일반의원,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS200008,한의원,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS200017,골프연습장,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS200024,스포츠클럽,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS200028,미용실,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS200029,네일숍,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS200030,피부관리실,3.0,3.0,0.0,33.0,1.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS200031,세탁소,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20261,A,골목상권,3110100,옥수동우편취급국,CS200033,부동산중개업,5.0,5.0,0.0,0.0,0.0,20.0,1.0
20261,A,골목상권,3110100,옥수동우편취급국,CS300011,일반의류,2.0,2.0,0.0,0.0,0.0,0.0,0.0
